MM_A_LENGTH,MM_B_LENGTH,sharpe_ratio,cumulative_return,annualized_return,annualized_volatility,max_drawdown,success
12,2,0.0003131248749887585,0.00025380635317318045,2.538781162386705e-05,0.08107887188706582,-0.1716101180668551,True
8,4,-0.006942079871246203,-0.005582334258932398,-0.0005598628199902089,0.08064770650495347,-0.16141958605312923,True
9,2,-0.03778785497182776,-0.029836665793321893,-0.0030256993997478387,0.08007068413921906,-0.18342787375853786,True
17,15,-0.03955325405192193,-0.03195912600975748,-0.0032441126372213525,0.08201885571697275,-0.18394343801777513,True
8,2,-0.054621695474147726,-0.04250394665839696,-0.004335665964551594,0.07937626115256072,-0.15690723905113124,True
7,6,-0.07874001630371671,-0.06106766729827007,-0.0062838614563350825,0.07980518358158467,-0.20009010391925397,True
8,3,-0.09899101219015827,-0.07673117246083838,-0.00795484401252311,0.08035925521442425,-0.18886934931205657,True
6,5,-0.1100926314777083,-0.0862094944691979,-0.008978424015975817,0.0815533600701858,-0.20105644488241026,True
7,4,-0.17767088661874844,-0.13520074171357066,-0.01442648007429792,0.0811977716149675,-0.22072279092649383,True
7,2,-0.1825177874619153,-0.13657251178443386,-0.014582988456646406,0.07989899866438681,-0.22307117699869028,True
7,3,-0.18708866294471144,-0.14102843120266284,-0.015092923136543535,0.0806725693528731,-0.24083829307083815,True
6,3,-0.20490743433534245,-0.15436702330604224,-0.016633746682868655,0.08117688231675675,-0.22289589122180742,True
6,2,-0.2420625373966641,-0.17962991192903655,-0.019612945395557135,0.08102429069153194,-0.26548145208701723,True
6,4,-0.24529296396076472,-0.18190138405516554,-0.019884845419684605,0.08106569833313784,-0.24672647808226122,True
5,2,-0.2810520546106559,-0.20531455044772984,-0.022727756626438445,0.08086671580438515,-0.2900477595391936,True
4,2,-0.28431428492086425,-0.20820044958863548,-0.023083375302824782,0.08118964303622586,-0.287960705225764,True
5,3,-0.33603759374434583,-0.24078189825805962,-0.027181309070007265,0.08088770297137214,-0.3013361365949634,True
5,4,-0.3876272295549465,-0.27815316609224916,-0.03208128733642157,0.08276324491768972,-0.3276762411732079,True
4,3,-0.3902434365274863,-0.2752948867936008,-0.031698552229512456,0.08122763706566481,-0.32098823905275775,True
3,2,-0.40257498376612916,-0.2809624221324418,-0.032458789357793894,0.08062793433943331,-0.35274934133131797,True
